EAN;EK;sofortLieferbar;lieferbarAb;Menge;Lebenszyklus;Nachfolger
4007134954397;8.8;0;;;;
4007134954595;9.6;1;;;;
4007134957022;8.8;1;;;;
4007134957121;8.8;1;;;;
4007134957138;8.5;1;;;;
4007134957145;8.5;1;;;;
4007134957305;8.8;1;;;;
4007134957336;8.5;1;;;;
4007134957367;8.8;1;;;;
4007134957503;9.6;1;;;;
4007134957527;9.6;1;;;;
4007134957626;9.6;1;;;;
4007134957701;8.3;1;;;;
4007134958159;8.2;1;;;;
4007134958166;8.2;1;;;;
4007134958418;13.5;1;;;;
4007134958456;13.6;1;;;;
4007134958463;13.6;1;;;;
4007134958500;15.1;1;;;;
4007134958555;15.1;1;;;;
4007134959101;15.3;1;;;;
4007134959309;17.9;1;;;;
4007134959507;19.1;1;;;;
4007134959606;21.2;1;;;;
4007134959705;23.2;1;;;;
4007134964457;67;1;;;;
4007134983007;28.3;1;;;;
4007134983014;28.3;1;;;;
4007134983700;56.9;0;;;;
4007134983809;71.5;1;;;;
4007134985001;14.8;0;;;;
4007134985308;14.8;1;;;;
4007134985506;11.1;1;;;;
6941921143329;23.2;1;;;;
6941921143336;23.2;1;;;;
6941921143343;23.2;1;;;;
6941921143350;23.2;1;;;;
6941921144029;23.2;1;;;;
6941921144548;17.1;1;;;;
6941921144708;233;1;;;;
6941921144753;17.1;1;;;;
6941921144760;17.1;1;;;;
6941921144777;17.1;1;;;;
6941921144784;17.1;1;;;;
6941921144791;17.1;1;;;;
6941921144807;17.1;1;;;;
6941921144814;17.1;1;;;;
6941921144821;17.1;1;;;;
6941921144838;17.1;1;;;;
6941921144845;17.1;1;;;;
6941921144852;17.1;1;;;;
6941921144869;17.1;1;;;;
6941921144883;132;1;;;;
6941921144890;132;1;;;;
6941921144913;62.2;1;;;;
6941921144944;101;1;;;;
6941921144951;101;1;;;;
6941921144968;62.2;1;;;;
6941921144975;62.2;1;;;;
6941921145033;46.6;1;;;;
6941921146085;77.8;1;;;;
6941921146160;77.8;1;;;;
6941921148089;42.7;1;;;;
4961607046159;9.4;1;;;;
4961607049150;9.75;1;;;;
4961607052150;10.1;1;;;;
4961607052785;18.85;1;;;;
4961607052976;70.25;1;;;;
4961607055151;10.45;1;;;;
4961607055786;20.2;1;;;;
4961607058787;21.55;1;;;;
4961607062159;13.45;1;;;;
4961607062784;26.25;1;;;;
4961607062791;48.5;1;;;;
4961607062975;85.85;1;;;;
4961607067154;14.8;1;;;;
4961607067789;29.6;1;;;;
4961607067796;55.2;1;;;;
4961607072783;33;1;;;;
4961607072790;59.95;1;;;;
4961607077153;17.5;1;;;;
4961607077788;36.35;1;;;;
4961607077795;67.4;1;;;;
4961607077979;124.9;1;;;;
4961607082157;20.2;1;;;;
4961607082782;42.4;1;;;;
4961607082799;67.4;1;;;;
4961607082973;132.6;1;;;;
4961607086780;94;1;;;;
4961607095782;123;1;;;;
4961607137987;8.75;1;;;;
4961607142981;10.1;1;;;;
4961607146989;10.1;1;;;;
4961607149980;10.1;1;;;;
4961607152980;10.75;1;;;;
4961607155981;11.45;1;;;;
4961607158982;12.1;1;;;;
4961607162989;13.45;1;;;;
4961607167984;14.8;1;;;;
4961607172988;16.15;1;;;;
4961607177679;67.4;1;;;;
4961607177983;18.2;1;;;;
4961607182987;22.2;1;;;;
4961607227763;100.5;1;;;;
4961607235591;20.9;1;;;;
4961607237601;33.7;1;;;;
4961607237618;60.3;1;;;;
4961607237939;6.05;1;;;;
4961607242605;33.7;1;;;;
4961607242612;60.3;1;;;;
4961607242933;6.05;1;;;;
4961607243930;6.05;1;;;;
4961607246603;33.7;1;;;;
4961607246610;60.3;1;;;;
4961607246931;6.05;1;;;;
4961607249604;33.7;1;;;;
4961607249611;60.3;1;;;;
4961607249932;6.05;1;;;;
4961607252604;34.2;1;;;;
4961607252611;63.7;1;;;;
4961607252932;6.05;1;;;;
4961607252949;9.4;1;;;;
4961607255605;37;1;;;;
4961607255612;66.3;1;;;;
4961607255933;6.05;1;;;;
4961607255940;10.1;1;;;;
4961607258606;38.9;1;;;;
4961607258613;70.4;1;;;;
4961607258934;7.4;1;;;;
4961607258941;10.8;1;;;;
4961607262603;42.3;1;;;;
4961607262610;77.2;1;;;;
4961607262931;7.4;1;;;;
4961607262948;12.1;1;;;;
4961607267608;46.9;1;;;;
4961607267615;87.1;1;;;;
4961607267936;8.75;1;;;;
4961607267943;15.5;1;;;;
4961607272602;52.3;1;;;;
4961607272619;93.8;1;;;;
4961607272930;8.75;1;;;;
4961607272947;16.15;1;;;;
4961607277607;56.3;1;;;;
4961607277935;13.45;1;;;;
4961607277942;18.85;1;;;;
4961607282601;60.3;1;;;;
4961607282618;113.9;1;;;;
4961607282939;15.5;1;;;;
4961607352915;20.1;1;;;;
4961607358917;9.4;1;;;;
4961607358993;22.25;1;;;;
4961607362938;11.45;1;;;;
4961607362952;23.5;1;;;;
4961607367971;13.5;1;;;;
4961607367995;27;1;;;;
4961607372913;29;1;;;;
4961607372937;15.45;1;;;;
4961607377970;17.5;1;;;;
4961607377987;33.7;1;;;;
4961607382950;40.5;1;;;;
4961607458150;10.8;1;;;;
4961607572153;15.5;1;;;;
4961607601303;209.1;1;;;;
4961607601310;209.1;1;;;;
4961607601334;192.4;1;;;;
4961607601341;192.4;1;;;;
4961607625224;167.6;1;;;;
4961607625231;209.1;1;;;;
4961607625248;184;1;;;;
4961607625255;209.1;1;;;;
4961607797303;20.9;1;;;;
4961607797310;25.1;1;;;;
4961607797327;25.1;1;;;;
4961607797334;31.8;1;;;;
4961607804308;125.3;1;;;;
4961607899977;167;1;;;;
4961607900000;150.3;1;;;;
4961607900017;142;1;;;;
4007134018198;41.4;0;;;;
4007134018211;82.8;0;;;;
4007134018235;82.8;0;;;;
4007134018822;66.8;1;;;;
4007134018846;149.7;1;;;;
